Fabricante;Producto;Tipo Licencia;Licencia Metrica;Precio;Moneda
sketchup;Sketchup;Suscripción;Named User;3241,0100;BRL
sketchup;Sketchup;Suscripción;Named User;348,5000;USD
sketchup;Sketchup;Suscripción;Named User;348,5000;USD
Serrala;CAS-D;Perpétua;No aplica;5610,4600;USD
Apple;Apple Developer Enterprise Program;Suscripción;usuario;299,0000;USD
Figma;Full Seat Enterprise;Suscripción;usuario;90,0000;USD
Figma;Dev seat Enterprise;Suscripción;usuario;35,0000;USD
Figma; Collab Seat Enterprise;Suscripción;usuario;60,0000;USD
Udemy;Udemy for Business Licenses;Suscripción;usuario;90,0000;USD
Udemy;Udemy for Business Licenses;Suscripción;usuario;80,0000;USD
AG Grid;Multiple Applications Grid Developer;Suscripción;usuario;721,0000;USD
BrowserStack;Web Testing Live Team;Suscripción;usuario;360,0000;USD
BrowserStack;App testing App Live Team;Suscripción;usuario;360,0000;USD
GEOVICTORIA;Geovictoria;Suscripción;Cantidad;198598440,0000;CLP
